trade_date,code,company_name,data_status,reason,latest_source_date,close,prior_20d_high,volume,prior_20d_avg_volume,volume_multiple,signal,source
2026-09-18,1852,淺沼組,VERIFIED,,2026-09-18,908.0,950.0,420000.0,388950.0,1.0798303123794832,False,https://query1.finance.yahoo.com/v8/finance/chart/1852.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1860,戸田建設,VERIFIED,,2026-09-18,1518.5,1568.5,1068500.0,791470.0,1.3500195838123996,False,https://query1.finance.yahoo.com/v8/finance/chart/1860.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1861,熊谷組,VERIFIED,,2026-09-18,1327.0,1330.0,911300.0,888275.0,1.025921026709071,False,https://query1.finance.yahoo.com/v8/finance/chart/1861.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1870,矢作建設工業,VERIFIED,,2026-09-18,2193.0,2255.0,135200.0,132595.0,1.0196462913382858,False,https://query1.finance.yahoo.com/v8/finance/chart/1870.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1871,ピーエス・コンストラクション,VERIFIED,,2026-09-18,2181.0,2407.0,86200.0,91630.0,0.9407399323365709,False,https://query1.finance.yahoo.com/v8/finance/chart/1871.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1873,日本ハウスホールディングス,VERIFIED,,2026-09-18,312.0,333.0,58000.0,103045.0,0.5628608860206705,False,https://query1.finance.yahoo.com/v8/finance/chart/1873.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1878,大東建託,VERIFIED,,2026-09-18,3352.0,3392.0,2113800.0,1344980.0,1.5716218828532766,False,https://query1.finance.yahoo.com/v8/finance/chart/1878.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1879,新日本建設,VERIFIED,,2026-09-18,2317.0,2390.0,172300.0,209365.0,0.8229646789100374,False,https://query1.finance.yahoo.com/v8/finance/chart/1879.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1882,東亜道路工業,VERIFIED,,2026-09-18,1610.0,1640.0,335400.0,364045.0,0.9213146726366246,False,https://query1.finance.yahoo.com/v8/finance/chart/1882.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1885,東亜建設工業,VERIFIED,,2026-09-18,2189.0,2205.0,474600.0,430005.0,1.1037080964174835,False,https://query1.finance.yahoo.com/v8/finance/chart/1885.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1887,日本国土開発,VERIFIED,,2026-09-18,550.0,557.0,210000.0,229245.0,0.9160505136426095,False,https://query1.finance.yahoo.com/v8/finance/chart/1887.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1888,若築建設,VERIFIED,,2026-09-18,3695.0,3950.0,14600.0,14525.0,1.0051635111876076,False,https://query1.finance.yahoo.com/v8/finance/chart/1888.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1893,五洋建設,VERIFIED,,2026-09-18,1582.0,1620.5,2655400.0,2071990.0,1.2815698917465819,False,https://query1.finance.yahoo.com/v8/finance/chart/1893.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1898,世紀東急工業,VERIFIED,,2026-09-18,1491.0,1517.0,191700.0,143130.0,1.3393418570530287,False,https://query1.finance.yahoo.com/v8/finance/chart/1898.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1899,福田組,VERIFIED,,2026-09-18,4710.0,5140.0,52000.0,62820.0,0.827761859280484,False,https://query1.finance.yahoo.com/v8/finance/chart/1899.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1911,住友林業,VERIFIED,,2026-09-18,1226.5,1369.5,6311900.0,4074260.0,1.549213844968166,False,https://query1.finance.yahoo.com/v8/finance/chart/1911.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1925,大和ハウス工業,VERIFIED,,2026-09-18,4558.0,4799.0,3465400.0,1743190.0,1.9879645936472787,False,https://query1.finance.yahoo.com/v8/finance/chart/1925.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1926,ライト工業,VERIFIED,,2026-09-18,3925.0,3970.0,159900.0,118690.0,1.3472070098576123,False,https://query1.finance.yahoo.com/v8/finance/chart/1926.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1928,積水ハウス,VERIFIED,,2026-09-18,3350.0,3528.0,3405200.0,2318570.0,1.468663874715881,False,https://query1.finance.yahoo.com/v8/finance/chart/1928.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1929,日特建設,VERIFIED,,2026-09-18,1241.0,1252.0,82700.0,85940.0,0.9622992785664417,False,https://query1.finance.yahoo.com/v8/finance/chart/1929.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1930,北陸電気工事,VERIFIED,,2026-09-18,1608.0,1619.0,49800.0,50925.0,0.9779086892488954,False,https://query1.finance.yahoo.com/v8/finance/chart/1930.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1934,ユアテック,VERIFIED,,2026-09-18,2642.0,2676.0,167800.0,136420.0,1.2300249230318134,False,https://query1.finance.yahoo.com/v8/finance/chart/1934.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1938,日本リーテック,VERIFIED,,2026-09-18,2615.0,2651.0,72100.0,83805.0,0.8603305292047014,False,https://query1.finance.yahoo.com/v8/finance/chart/1938.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1939,四電工,VERIFIED,,2026-09-18,2303.0,2359.0,109500.0,99920.0,1.0958767013610888,False,https://query1.finance.yahoo.com/v8/finance/chart/1939.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1941,中電工,VERIFIED,,2026-09-18,5150.0,5280.0,93300.0,76485.0,1.2198470288291823,False,https://query1.finance.yahoo.com/v8/finance/chart/1941.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1942,関電工,VERIFIED,,2026-09-18,5543.0,5844.0,1158900.0,672310.0,1.7237583852687004,False,https://query1.finance.yahoo.com/v8/finance/chart/1942.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
