code,company_name,ticker_tse
4310,ドリームインキュベータ,4310.T
4318,クイック,4318.T
4323,日本システム技術,4323.T
4324,電通グループ,4324.T
4326,インテージホールディングス,4326.T
4331,テイクアンドギヴ・ニーズ,4331.T
4337,ぴあ,4337.T
4343,イオンファンタジー,4343.T
4344,ソースネクスト,4344.T
4345,シーティーエス,4345.T
4362,日本精化,4362.T
4368,扶桑化学工業,4368.T
4369,トリケミカル研究所,4369.T
4373,シンプレクス・ホールディングス,4373.T
4385,メルカリ,4385.T
4390,ＩＰＳ,4390.T
4392,ＦＩＧ,4392.T
4396,システムサポートホールディングス,4396.T
4401,ＡＤＥＫＡ,4401.T
4403,日油,4403.T
4410,ハリマ化成グループ,4410.T
4413,ボードルア,4413.T
4432,ウイングアーク１ｓｔ,4432.T
4433,ヒト・コミュニケーションズ・ホールディングス,4433.T
4443,Ｓａｎｓａｎ,4443.T
4452,花王,4452.T
4461,第一工業製薬,4461.T
4462,石原ケミカル,4462.T
4471,三洋化成工業,4471.T
4480,メドレー,4480.T
4481,ベース,4481.T
4483,ＪＭＤＣ,4483.T
4502,武田薬品工業,4502.T
4503,アステラス製薬,4503.T
4506,住友ファーマ,4506.T
4507,塩野義製薬,4507.T
4516,日本新薬,4516.T
4519,中外製薬,4519.T
4521,科研製薬,4521.T
4523,エーザイ,4523.T
4526,理研ビタミン,4526.T
4527,ロート製薬,4527.T
4528,小野薬品工業,4528.T
4534,持田製薬,4534.T
4536,参天製薬,4536.T
4538,扶桑薬品工業,4538.T
4540,ツムラ,4540.T
4543,テルモ,4543.T
4544,Ｈ．Ｕ．グループホールディングス,4544.T
4547,キッセイ薬品工業,4547.T
4548,生化学工業,4548.T
4549,栄研化学,4549.T
4552,ＪＣＲファーマ,4552.T
4553,東和薬品,4553.T
4554,富士製薬工業,4554.T
4559,ゼリア新薬工業,4559.T
4565,ネクセラファーマ,4565.T
4568,第一三共,4568.T
4569,杏林製薬,4569.T
4574,大幸薬品,4574.T
4577,ダイト,4577.T
4578,大塚ホールディングス,4578.T
4587,ペプチドリーム,4587.T
4611,大日本塗料,4611.T
4612,日本ペイントホールディングス,4612.T
4613,関西ペイント,4613.T
4617,中国塗料,4617.T
4626,太陽ホールディングス,4626.T
4631,ＤＩＣ,4631.T
4633,サカタインクス,4633.T
4634,ａｒｔｉｅｎｃｅ,4634.T
4641,アルプス技研,4641.T
4658,日本空調サービス,4658.T
4661,オリエンタルランド,4661.T
4662,フォーカスシステムズ,4662.T
4665,ダスキン,4665.T
4666,パーク２４,4666.T
4668,明光ネットワークジャパン,4668.T
4674,クレスコ,4674.T
4676,フジ・メディア・ホールディングス,4676.T
4680,ラウンドワン,4680.T
4681,リゾートトラスト,4681.T
4684,オービック,4684.T
4686,ジャストシステム,4686.T
4687,ＴＤＣソフト,4687.T
4689,ＬＩＮＥヤフー,4689.T
4694,ビー・エム・エル,4694.T
4704,トレンドマイクロ,4704.T
4709,ＩＤホールディングス,4709.T
4714,リソー教育グループ,4714.T
4718,早稲田アカデミー,4718.T
4719,アルファシステムズ,4719.T
471A,ＮＳグループ,471A.T
4722,フューチャー,4722.T
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,4725.T
4732,ユー・エス・エス,4732.T
4733,オービックビジネスコンサルタント,4733.T
4743,アイティフォー,4743.T
4751,サイバーエージェント,4751.T
4755,楽天グループ,4755.T
4763,クリーク・アンド・リバー社,4763.T
4765,ＳＢＩグローバルアセットマネジメント,4765.T
4768,大塚商会,4768.T
4776,サイボウズ,4776.T
4784,ＧＭＯインターネット,4784.T
4792,山田コンサルティンググループ,4792.T
4801,セントラルスポーツ,4801.T
4809,パラカ,4809.T
4812,電通総研,4812.T
4813,ＡＣＣＥＳＳ,4813.T
4819,デジタルガレージ,4819.T
4820,イーエムシステムズ,4820.T
4825,ウェザーニューズ,4825.T
4826,ＣＩＪ,4826.T
4828,ビジネスエンジニアリング,4828.T
4839,ＷＯＷＯＷ,4839.T
4847,インテリジェント　ウェイブ,4847.T
4848,フルキャストホールディングス,4848.T
4849,エン,4849.T
4886,あすか製薬ホールディングス,4886.T
4887,サワイグループホールディングス,4887.T
4901,富士フイルムホールディングス,4901.T
4902,コニカミノルタ,4902.T
4911,資生堂,4911.T
4912,ライオン,4912.T
4914,高砂香料工業,4914.T
4919,ミルボン,4919.T
4922,コーセーホールディングス,4922.T
4923,コタ,4923.T
4927,ポーラ・オルビスホールディングス,4927.T
4928,ノエビアホールディングス,4928.T
4931,新日本製薬,4931.T
4933,Ｉ－ｎｅ,4933.T
4951,エステー,4951.T
4956,コニシ,4956.T
4958,長谷川香料,4958.T
4967,小林製薬,4967.T
4968,荒川化学工業,4968.T
4971,メック,4971.T
4973,日本高純度化学,4973.T
4975,ＪＣＵ,4975.T
4980,デクセリアルズ,4980.T
4985,アース製薬,4985.T
4996,クミアイ化学工業,4996.T
4997,日本農薬,4997.T
5011,ニチレキグループ,5011.T
5016,ＪＸ金属,5016.T
5019,出光興産,5019.T
5020,ＥＮＥＯＳホールディングス,5020.T
5021,コスモエネルギーホールディングス,5021.T
5032,ＡＮＹＣＯＬＯＲ,5032.T
5036,日本ビジネスシステムズ,5036.T
5074,テスホールディングス,5074.T
5076,インフロニア・ホールディングス,5076.T
50765,インフロニア・ホールディングス第１回社債型種類株式,50765.T
5101,横浜ゴム,5101.T
5105,ＴＯＹＯ　ＴＩＲＥ,5105.T
5108,ブリヂストン,5108.T
5110,住友ゴム工業,5110.T
5121,藤倉コンポジット,5121.T
5122,オカモト,5122.T
5142,アキレス,5142.T
5185,フコク,5185.T
5186,ニッタ,5186.T
5192,三ツ星ベルト,5192.T
5195,バンドー化学,5195.T
5201,ＡＧＣ,5201.T
5202,日本板硝子,5202.T
5208,有沢製作所,5208.T
5214,日本電気硝子,5214.T
5232,住友大阪セメント,5232.T
5233,太平洋セメント,5233.T
5261,リソルホールディングス,5261.T
5262,日本ヒューム,5262.T
5269,日本コンクリート工業,5269.T
5288,アジアパイルホールディングス,5288.T
5301,東海カーボン,5301.T
5302,日本カーボン,5302.T
5310,東洋炭素,5310.T
5331,ノリタケ,5331.T
5332,ＴＯＴＯ,5332.T
5333,ＮＧＫ,5333.T
5334,日本特殊陶業,5334.T
5344,ＭＡＲＵＷＡ,5344.T
5351,品川リフラ,5351.T
5357,ヨータイ,5357.T
